Size	Latency (us)	np	Algorithm

1                       0.19	2	broadcast_flat
1                       0.22	2	broadcast_chain
1                       0.20	2	broadcast_binary_tree
1                       0.20	2	scatter_flat
1                       0.21	2	scatter_basic_binomial
1                       0.21	2	scatter_nb
1                       0.55	3	broadcast_flat
1                       0.62	3	broadcast_chain
1                       0.62	3	broadcast_binary_tree
1                       0.61	3	scatter_flat
1                       0.60	3	scatter_basic_binomial
1                       0.66	3	scatter_nb
1                       0.30	4	broadcast_flat
1                       0.33	4	broadcast_chain
1                       0.54	4	broadcast_binary_tree
1                       0.33	4	scatter_flat
1                       0.44	4	scatter_basic_binomial
1                       0.37	4	scatter_nb
1                       0.48	5	broadcast_flat
1                       0.50	5	broadcast_chain
1                       0.61	5	broadcast_binary_tree
1                       0.51	5	scatter_flat
1                       0.45	5	scatter_basic_binomial
1                       0.50	5	scatter_nb
1                       0.62	6	broadcast_flat
1                       0.67	6	broadcast_chain
1                       0.81	6	broadcast_binary_tree
1                       0.64	6	scatter_flat
1                       0.71	6	scatter_basic_binomial
1                       0.66	6	scatter_nb
1                       0.68	7	broadcast_flat
1                       0.87	7	broadcast_chain
1                       0.84	7	broadcast_binary_tree
1                       0.72	7	scatter_flat
1                       0.67	7	scatter_basic_binomial
1                       0.86	7	scatter_nb
1                       1.26	8	broadcast_flat
1                       1.01	8	broadcast_chain
1                       0.96	8	broadcast_binary_tree
1                       1.18	8	scatter_flat
1                       1.46	8	scatter_basic_binomial
1                       1.19	8	scatter_nb
1                       1.40	9	broadcast_flat
1                       1.48	9	broadcast_chain
1                       1.37	9	broadcast_binary_tree
1                       2.01	9	scatter_flat
1                       1.29	9	scatter_basic_binomial
1                       1.61	9	scatter_nb
1                       1.37	10	broadcast_flat
1                       2.12	10	broadcast_chain
1                       1.23	10	broadcast_binary_tree
1                       1.45	10	scatter_flat
1                       1.37	10	scatter_basic_binomial
1                       1.55	10	scatter_nb
1                       1.24	11	broadcast_flat
1                       1.79	11	broadcast_chain
1                       1.15	11	broadcast_binary_tree
1                       1.99	11	scatter_flat
1                       0.83	11	scatter_basic_binomial
1                       1.95	11	scatter_nb
1                       1.96	12	broadcast_flat
1                       2.29	12	broadcast_chain
1                       1.45	12	broadcast_binary_tree
1                       1.50	12	scatter_flat
1                       1.63	12	scatter_basic_binomial
1                       1.47	12	scatter_nb
1                       1.61	13	broadcast_flat
1                       1.68	13	broadcast_chain
1                       1.33	13	broadcast_binary_tree
1                       1.24	13	scatter_flat
1                       1.51	13	scatter_basic_binomial
1                       1.15	13	scatter_nb
1                       1.61	14	broadcast_flat
1                       1.46	14	broadcast_chain
1                       1.57	14	broadcast_binary_tree
1                       1.33	14	scatter_flat
1                       1.19	14	scatter_basic_binomial
1                       1.89	14	scatter_nb
1                       1.57	15	broadcast_flat
1                       1.53	15	broadcast_chain
1                       1.51	15	broadcast_binary_tree
1                       1.25	15	scatter_flat
1                       0.89	15	scatter_basic_binomial
1                       1.59	15	scatter_nb
1                       2.51	16	broadcast_flat
1                       2.33	16	broadcast_chain
1                       1.92	16	broadcast_binary_tree
1                       2.81	16	scatter_flat
1                       1.26	16	scatter_basic_binomial
1                       2.31	16	scatter_nb
1                       3.83	17	broadcast_flat
1                       3.65	17	broadcast_chain
1                       3.30	17	broadcast_binary_tree
1                       4.56	17	scatter_flat
1                       3.64	17	scatter_basic_binomial
1                       3.97	17	scatter_nb
1                       3.70	18	broadcast_flat
1                       3.62	18	broadcast_chain
1                       3.71	18	broadcast_binary_tree
1                       3.86	18	scatter_flat
1                       3.38	18	scatter_basic_binomial
1                       3.66	18	scatter_nb
1                       3.91	19	broadcast_flat
1                       3.58	19	broadcast_chain
1                       3.24	19	broadcast_binary_tree
1                       3.58	19	scatter_flat
1                       3.39	19	scatter_basic_binomial
1                       3.66	19	scatter_nb
1                       3.56	20	broadcast_flat
1                       3.68	20	broadcast_chain
1                       2.98	20	broadcast_binary_tree
1                       3.72	20	scatter_flat
1                       2.98	20	scatter_basic_binomial
1                       3.68	20	scatter_nb
1                       3.56	21	broadcast_flat
1                       3.44	21	broadcast_chain
1                       3.41	21	broadcast_binary_tree
1                       3.66	21	scatter_flat
1                       2.92	21	scatter_basic_binomial
1                       3.73	21	scatter_nb
1                       3.50	22	broadcast_flat
1                       3.27	22	broadcast_chain
1                       3.28	22	broadcast_binary_tree
1                       3.76	22	scatter_flat
1                       2.82	22	scatter_basic_binomial
1                       3.76	22	scatter_nb
1                       3.57	23	broadcast_flat
1                       3.13	23	broadcast_chain
1                       2.82	23	broadcast_binary_tree
1                       3.79	23	scatter_flat
1                       2.65	23	scatter_basic_binomial
1                       4.11	23	scatter_nb
1                       3.50	24	broadcast_flat
1                       3.46	24	broadcast_chain
1                       3.05	24	broadcast_binary_tree
1                       3.53	24	scatter_flat
1                       2.59	24	scatter_basic_binomial
1                       3.60	24	scatter_nb
